Chr,Start,End,Score
chr2L,5180000,5200000,0.77025
chr2L,5200000,5220000,-0.29503
chr2L,5220000,5240000,-0.14605
chr2L,5240000,5260000,0.43969
chr2L,5260000,5280000,0.72723
chr2L,5280000,5300000,1.10861
chr2L,5300000,5320000,0.10406
chr2L,5320000,5340000,0.07710
chr2L,5340000,5360000,0.37132
chr2L,5360000,5380000,-0.68778
chr2L,5380000,5400000,0.45317
chr2L,5400000,5420000,-0.69321
chr2L,5420000,5440000,0.25897
chr2L,5440000,5460000,-0.75404
chr2L,5460000,5480000,-1.09249
chr2L,5480000,5500000,-0.27388
chr2L,5500000,5520000,-0.33007
chr2L,5520000,5540000,2.99152
chr2L,5540000,5560000,1.83630
chr2L,5560000,5580000,-0.18912
chr2L,5580000,5600000,0.04660
chr2L,5600000,5620000,-0.72415
chr2L,5620000,5640000,-0.10982
chr2L,5640000,5660000,-0.70924
chr2L,5660000,5680000,0.10359
chr2L,5680000,5700000,-0.63530
chr2L,5700000,5720000,-0.11308
chr2L,5720000,5740000,-0.03839
chr2L,5740000,5760000,-0.62388
chr2L,5760000,5780000,-1.26975
chr2L,5780000,5800000,0.26947
chr2L,5800000,5820000,0.63932
chr2L,5820000,5840000,-1.05679
chr2L,5840000,5860000,-0.72779
chr2L,5860000,5880000,0.18179
chr2L,5880000,5900000,-0.18740
chr2L,5900000,5920000,0.31291
chr2L,5920000,5940000,-0.61434
chr2L,5940000,5960000,-0.05306
chr2L,5960000,5980000,2.31468
chr2L,5980000,6000000,2.87930
chr2L,6000000,6020000,0.33632
chr2L,6020000,6040000,0.96305
chr2L,6040000,6060000,1.19175
chr2L,6060000,6080000,1.68070
chr2L,6080000,6100000,0.69696
chr2L,6100000,6120000,-0.39619
chr2L,6120000,6140000,0.86597
chr2L,6140000,6160000,-0.40525
chr2L,6160000,6180000,-0.28067
chr2L,6180000,6200000,0.38187
chr2L,6200000,6220000,-0.18804
chr2L,6220000,6240000,-0.22862
chr2L,6240000,6260000,-0.10166
chr2L,6260000,6280000,0.01166
chr2L,6280000,6300000,0.84813
chr2L,6300000,6320000,-0.24775
chr2L,6320000,6340000,0.12553
chr2L,6340000,6360000,-0.39475
chr2L,6360000,6380000,0.53153
chr2L,6380000,6400000,0.13972
chr2L,6400000,6420000,-0.35953
chr2L,6420000,6440000,1.11731
chr2L,6440000,6460000,0.94915
chr2L,6460000,6480000,0.81138
chr2L,6480000,6500000,1.70455
chr2L,6500000,6520000,-0.05432
chr2L,6520000,6540000,-1.25909
chr2L,6540000,6560000,0.52353
chr2L,6560000,6580000,0.10336
chr2L,6580000,6600000,-1.14872
chr2L,6600000,6620000,0.80797
chr2L,6620000,6640000,-0.71254
chr2L,6640000,6660000,1.97144
chr2L,6660000,6680000,0.89917
chr2L,6680000,6700000,0.62679
chr2L,6700000,6720000,0.24683
chr2L,6720000,6740000,-0.03603
chr2L,6740000,6760000,-0.87166
chr2L,6760000,6780000,0.01561
chr2L,6780000,6800000,1.46159
chr2L,6800000,6820000,-0.00601
chr2L,6820000,6840000,-1.76746
chr2L,6840000,6860000,-0.16503
chr2L,6860000,6880000,-0.52736
chr2L,6880000,6900000,-0.81054
chr2L,6900000,6920000,1.50273
chr2L,6920000,6940000,0.39326
chr2L,6940000,6960000,0.68335
chr2L,6960000,6980000,2.05246
chr2L,6980000,7000000,0.25573
chr2L,7000000,7020000,-0.20432
chr2L,7020000,7040000,2.17486
chr2L,7040000,7060000,0.00908
chr2L,7060000,7080000,-0.32604
chr2L,7080000,7100000,1.69375
chr2L,7100000,7120000,-0.80199
chr2L,7120000,7140000,-0.95672
chr2L,7140000,7160000,-0.58298
chr2L,7160000,7180000,-0.91596
chr2L,7180000,7200000,0.27279
chr2L,7200000,7220000,0.06661
chr2L,7220000,7240000,-0.71659
chr2L,7240000,7260000,-1.00899
chr2L,7260000,7280000,-0.82594
chr2L,7280000,7300000,-0.58050
chr2L,7300000,7320000,-0.86607
chr2L,7320000,7340000,0.47136
chr2L,7340000,7360000,-0.26620
chr2L,7360000,7380000,0.17024
chr2L,7380000,7400000,0.13856
chr2L,7400000,7420000,-0.25066
chr2L,7420000,7440000,1.62744
chr2L,7440000,7460000,-0.37959
chr2L,7460000,7480000,-0.60491
chr2L,7480000,7500000,-0.09159
chr2L,7500000,7520000,0.07739
chr2L,7520000,7540000,-0.87237
chr2L,7540000,7560000,-0.61395
chr2L,7560000,7580000,-0.53059
chr2L,7580000,7600000,-0.88473
chr2L,7600000,7620000,0.47830
chr2L,7620000,7640000,-0.45431
chr2L,7640000,7660000,-0.41936
chr2L,7660000,7680000,-0.25983
chr2L,7680000,7700000,0.44014
chr2L,7700000,7720000,0.17685
chr2L,7720000,7740000,0.05637
chr2L,7740000,7760000,-0.37782
chr2L,7760000,7780000,-0.49230
chr2L,7780000,7800000,2.04247
chr2L,7800000,7820000,0.93430
chr2L,7820000,7840000,2.09940
chr2L,7840000,7860000,-1.03548
chr2L,7860000,7880000,-0.61437
chr2L,7880000,7900000,-0.17926
chr2L,7900000,7920000,0.05130
chr2L,7920000,7940000,-0.47382
chr2L,7940000,7960000,-0.55254
chr2L,7960000,7980000,-0.39378
chr2L,7980000,8000000,1.84100
chr2L,8000000,8020000,2.32321
chr2L,8020000,8040000,1.15998
chr2L,8040000,8060000,1.04858
chr2L,8060000,8080000,0.83852
chr2L,8080000,8100000,1.95180
chr2L,8100000,8120000,-1.91313
chr2L,8120000,8140000,1.61856
chr2L,8140000,8160000,-0.20780
chr2L,8160000,8180000,1.14648
chr2L,8180000,8200000,-0.37644
chr2L,8200000,8220000,2.06580
chr2L,8220000,8240000,2.65855
chr2L,8240000,8260000,0.05675
chr2L,8260000,8280000,-1.08930
chr2L,8280000,8300000,0.29403
chr2L,8300000,8320000,1.68064
chr2L,8320000,8340000,0.23462
chr2L,8340000,8360000,-0.87347
chr2L,8360000,8380000,2.21174
chr2L,8380000,8400000,1.38397
chr2L,8400000,8420000,1.59184
chr2L,8420000,8440000,1.84360
chr2L,8440000,8460000,0.21102
chr2L,8460000,8480000,0.86510
chr2L,8480000,8500000,-0.32584
chr2L,8500000,8520000,0.95711
chr2L,8520000,8540000,-0.01962
chr2L,8540000,8560000,-1.16148
chr2L,8560000,8580000,-1.11764
chr2L,8580000,8600000,-1.20715
chr2L,8600000,8620000,-0.88848
chr2L,8620000,8640000,-0.68218
chr2L,8640000,8660000,-0.06656
chr2L,8660000,8680000,-0.44610
chr2L,8680000,8700000,0.39752
chr2L,8700000,8720000,1.35962
chr2L,8720000,8740000,-0.89842
chr2L,8740000,8760000,-0.46849
chr2L,8760000,8780000,0.37219
chr2L,8780000,8800000,-0.33893
chr2L,8800000,8820000,-0.36376
chr2L,8820000,8840000,-0.65389
chr2L,8840000,8860000,-0.28677
chr2L,8860000,8880000,-0.46222
chr2L,8880000,8900000,-1.30153
chr2L,8900000,8920000,-0.75730
chr2L,8920000,8940000,-0.55365
chr2L,8940000,8960000,-0.04720
chr2L,8960000,8980000,0.60389
chr2L,8980000,9000000,0.27811
chr2L,9000000,9020000,-0.57518
chr2L,9020000,9040000,-0.20906
chr2L,9040000,9060000,-0.71343
chr2L,9060000,9080000,-0.79733
chr2L,9080000,9100000,-0.82065
chr2L,9100000,9120000,-0.78010
chr2L,9120000,9140000,0.37620
chr2L,9140000,9160000,0.36113
chr2L,9160000,9180000,-0.13357
chr2L,9180000,9200000,0.36763
chr2L,9200000,9220000,0.29706
chr2L,9220000,9240000,0.50181
chr2L,9240000,9260000,-0.97786
chr2L,9260000,9280000,-0.32205
chr2L,9280000,9300000,-0.33526
chr2L,9300000,9320000,-0.07524
chr2L,9320000,9340000,-0.13245
chr2L,9340000,9360000,0.23441
chr2L,9360000,9380000,-0.30129
chr2L,9380000,9400000,0.59249
chr2L,9400000,9420000,-1.60690
chr2L,9420000,9440000,-0.11318
chr2L,9440000,9460000,-0.00438
chr2L,9460000,9480000,-1.20670
chr2L,9480000,9500000,0.49805
chr2L,9500000,9520000,-0.22694
chr2L,9520000,9540000,-0.59903
chr2L,9540000,9560000,-1.07417
chr2L,9560000,9580000,0.59578
chr2L,9580000,9600000,0.14222
chr2L,9600000,9620000,1.56970
chr2L,9620000,9640000,0.18235
chr2L,9640000,9660000,0.02763
chr2L,9660000,9680000,-0.31967
chr2L,9680000,9700000,-0.35757
chr2L,9700000,9720000,1.58505
chr2L,9720000,9740000,-0.65597
chr2L,9740000,9760000,-0.53041
chr2L,9760000,9780000,0.85338
chr2L,9780000,9800000,0.79645
chr2L,9800000,9820000,-1.44784
chr2L,9820000,9840000,0.08052
chr2L,9840000,9860000,-0.23613
chr2L,9860000,9880000,-1.33180
chr2L,9880000,9900000,2.39022
chr2L,9900000,9920000,2.82236
chr2L,9920000,9940000,1.24488
chr2L,9940000,9960000,1.72928
chr2L,9960000,9980000,2.01114
chr2L,9980000,10000000,-0.36950
chr2L,10000000,10020000,0.46179
chr2L,10020000,10040000,-0.27254
chr2L,10040000,10060000,1.36604
chr2L,10060000,10080000,0.03676
chr2L,10080000,10100000,0.01541
chr2L,10100000,10120000,0.31081
chr2L,10120000,10140000,-0.14117
chr2L,10140000,10160000,-0.48875
chr2L,10160000,10180000,-0.32085
chr2L,10180000,10200000,-0.09183
chr2L,10200000,10220000,1.36049
chr2L,10220000,10240000,1.02145
chr2L,10240000,10260000,0.97418
chr2L,10260000,10280000,0.15297
chr2L,10280000,10300000,-0.57561
chr2L,10300000,10320000,1.15685
chr2L,10320000,10340000,1.15438
chr2L,10340000,10360000,0.31892
chr2L,10360000,10380000,1.23209
chr2L,10380000,10400000,0.54492
chr2L,10400000,10420000,1.03582
chr2L,10420000,10440000,2.91527
chr2L,10440000,10460000,-1.27505
chr2L,10460000,10480000,-0.20636
chr2L,10480000,10500000,1.11898
chr2L,10500000,10520000,2.07633
chr2L,10520000,10540000,-0.12263
chr2L,10540000,10560000,-0.55815
chr2L,10560000,10580000,-0.42309
chr2L,10580000,10600000,-0.06642
chr2L,10600000,10620000,-0.20292
chr2L,10620000,10640000,-0.42074
chr2L,10640000,10660000,-0.34285
chr2L,10660000,10680000,-0.48267
chr2L,10680000,10700000,-1.72978
chr2L,10700000,10720000,0.30079
chr2L,10720000,10740000,0.95348
chr2L,10740000,10760000,0.87552
chr2L,10760000,10780000,0.40740
chr2L,10780000,10800000,0.41117
chr2L,10800000,10820000,-0.58263
chr2L,10820000,10840000,-0.22706
chr2L,10840000,10860000,1.89703
chr2L,10860000,10880000,-0.69646
chr2L,10880000,10900000,-0.72284
chr2L,10900000,10920000,0.03981
chr2L,10920000,10940000,-0.40381
chr2L,10940000,10960000,-0.08957
chr2L,10960000,10980000,1.96152
chr2L,10980000,11000000,-1.49873
chr2L,11000000,11020000,2.49920
chr2L,11020000,11040000,-0.63374
chr2L,11040000,11060000,-0.35154
chr2L,11060000,11080000,-0.39260
chr2L,11080000,11100000,-0.43756
chr2L,11100000,11120000,1.54372
chr2L,11120000,11140000,1.31395
chr2L,11140000,11160000,-1.43696
chr2L,11160000,11180000,0.08445
chr2L,11180000,11200000,-0.53784
chr2L,11200000,11220000,-0.30434
chr2L,11220000,11240000,-0.63738
chr2L,11240000,11260000,0.06636
chr2L,11260000,11280000,0.45110
chr2L,11280000,11300000,1.06902
chr2L,11300000,11320000,-0.31011
chr2L,11320000,11340000,-0.08651
chr2L,11340000,11360000,-0.94670
chr2L,11360000,11380000,0.94588
chr2L,11380000,11400000,0.94641
chr2L,11400000,11420000,0.71110
chr2L,11420000,11440000,-0.08091
chr2L,11440000,11460000,-0.70763
chr2L,11460000,11480000,-0.71556
chr2L,11480000,11500000,-0.75629
chr2L,11500000,11520000,-0.02929
chr2L,11520000,11540000,1.57404
chr2L,11540000,11560000,-0.79987
chr2L,11560000,11580000,0.08263
chr2L,11580000,11600000,-0.31199
chr2L,11600000,11620000,0.42578
chr2L,11620000,11640000,-0.27987
chr2L,11640000,11660000,0.31776
chr2L,11660000,11680000,0.44223
chr2L,11680000,11700000,0.33783
chr2L,11700000,11720000,-0.21076
chr2L,11720000,11740000,0.17256
chr2L,11740000,11760000,-0.46680
chr2L,11760000,11780000,-1.07722
chr2L,11780000,11800000,-0.73190
chr2L,11800000,11820000,1.60864
chr2L,11820000,11840000,0.10824
chr2L,11840000,11860000,-0.04637
chr2L,11860000,11880000,-1.37067
chr2L,11880000,11900000,-0.28257
chr2L,11900000,11920000,-1.29044
chr2L,11920000,11940000,-0.20013
chr2L,11940000,11960000,-0.57435
chr2L,11960000,11980000,0.12836
chr2L,11980000,12000000,1.86278
chr2L,12000000,12020000,0.24697
chr2L,12020000,12040000,1.06128
chr2L,12040000,12060000,2.14484
chr2L,12060000,12080000,0.41999
chr2L,12080000,12100000,1.05340
chr2L,12100000,12120000,1.29197
chr2L,12120000,12140000,-0.18839
chr2L,12140000,12160000,-1.27040
chr2L,12160000,12180000,0.69591
chr2L,12180000,12200000,-1.30219
chr2L,12200000,12220000,-0.09733
chr2L,12220000,12240000,-0.77040
chr2L,12240000,12260000,-0.63315
chr2L,12260000,12280000,-1.77796
chr2L,12280000,12300000,-0.55579
chr2L,12300000,12320000,-0.67759
chr2L,12320000,12340000,0.70146
chr2L,12340000,12360000,-0.22643
chr2L,12360000,12380000,-0.36735
chr2L,12380000,12400000,-1.20845
chr2L,12400000,12420000,-0.36667
chr2L,12420000,12440000,2.30576
chr2L,12440000,12460000,0.16983
chr2L,12460000,12480000,0.75530
chr2L,12480000,12500000,0.06377
chr2L,12500000,12520000,0.90074
chr2L,12520000,12540000,-0.48500
chr2L,12540000,12560000,-0.49457
chr2L,12560000,12580000,-0.98059
chr2L,12580000,12600000,-0.57612
chr2L,12600000,12620000,-0.53206
chr2L,12620000,12640000,-0.06921
chr2L,12640000,12660000,-1.09576
chr2L,12660000,12680000,-0.76262
chr2L,12680000,12700000,1.84091
chr2L,12700000,12720000,2.41398
chr2L,12720000,12740000,0.41321
chr2L,12740000,12760000,-0.97650
chr2L,12760000,12780000,-0.96871
chr2L,12780000,12800000,-1.55121
chr2L,12800000,12820000,-0.32002
chr2L,12820000,12840000,1.81440
chr2L,12840000,12860000,0.24310
chr2L,12860000,12880000,-0.64185
chr2L,12880000,12900000,0.07174
chr2L,12900000,12920000,-0.14883
chr2L,12920000,12940000,-0.38478
chr2L,12940000,12960000,0.20556
chr2L,12960000,12980000,-0.06288
chr2L,12980000,13000000,-0.28433
chr2L,13000000,13020000,0.93211
chr2L,13020000,13040000,-0.53567
chr2L,13040000,13060000,-0.77754
chr2L,13060000,13080000,1.62169
chr2L,13080000,13100000,0.47673
chr2L,13100000,13120000,-0.04322
chr2L,13120000,13140000,-0.03720
chr2L,13140000,13160000,-0.78372
chr2L,13160000,13180000,1.52848
chr2L,13180000,13200000,0.23337
chr2L,13200000,13220000,1.39321
chr2L,13220000,13240000,0.12335
chr2L,13240000,13260000,-0.56716
chr2L,13260000,13280000,0.19328
chr2L,13280000,13300000,0.29023
chr2L,13300000,13320000,-1.01164
chr2L,13320000,13340000,-1.24854
chr2L,13340000,13360000,-0.97912
chr2L,13360000,13380000,1.70891
chr2L,13380000,13400000,1.73122
chr2L,13400000,13420000,-1.06935
chr2L,13420000,13440000,-1.12573
chr2L,13440000,13460000,-0.92804
chr2L,13460000,13480000,-1.03387
chr2L,13480000,13500000,-1.25884
chr2L,13500000,13520000,0.34530
chr2L,13520000,13540000,-0.65175
chr2L,13540000,13560000,-0.33798
chr2L,13560000,13580000,0.31720
chr2L,13580000,13600000,-0.88717
chr2L,13600000,13620000,-0.53480
chr2L,13620000,13640000,-0.66553
chr2L,13640000,13660000,-0.21962
chr2L,13660000,13680000,-0.51971
chr2L,13680000,13700000,0.67430
chr2L,13700000,13720000,0.22091
chr2L,13720000,13740000,-0.55719
chr2L,13740000,13760000,-0.63802
chr2L,13760000,13780000,0.59078
chr2L,13780000,13800000,1.11703
chr2L,13800000,13820000,0.50912
chr2L,13820000,13840000,2.07165
chr2L,13840000,13860000,0.23640
chr2L,13860000,13880000,-0.72749
chr2L,13880000,13900000,0.09811
chr2L,13900000,13920000,1.29897
chr2L,13920000,13940000,-1.61984
chr2L,13940000,13960000,-0.24779
chr2L,13960000,13980000,-0.26301
chr2L,13980000,14000000,-0.68918
chr2L,14000000,14020000,-0.20814
chr2L,14020000,14040000,0.95370
chr2L,14040000,14060000,-0.59052
chr2L,14060000,14080000,1.67401
chr2L,14080000,14100000,-1.95333
chr2L,14100000,14120000,-0.73266
chr2L,14120000,14140000,-1.00725
chr2L,14140000,14160000,-0.05762
chr2L,14160000,14180000,-1.08137
chr2L,14180000,14200000,-1.02192
chr2L,14200000,14220000,-0.60903
chr2L,14220000,14240000,-0.27399
chr2L,14240000,14260000,-0.78565
chr2L,14260000,14280000,-0.21156
chr2L,14280000,14300000,-0.22844
chr2L,14300000,14320000,-0.73294
chr2L,14320000,14340000,0.18147
chr2L,14340000,14360000,1.05563
chr2L,14360000,14380000,-0.71409
chr2L,14380000,14400000,-0.70615
chr2L,14400000,14420000,-1.21194
chr2L,14420000,14440000,-0.58726
chr2L,14440000,14460000,-0.32383
chr2L,14460000,14480000,-0.95352
chr2L,14480000,14500000,-1.08876
chr2L,14500000,14520000,-0.01682
chr2L,14520000,14540000,-0.41233
chr2L,14540000,14560000,-0.07252
chr2L,14560000,14580000,-0.57783
chr2L,14580000,14600000,-0.03637
chr2L,14600000,14620000,-0.08144
chr2L,14620000,14640000,-0.58859
chr2L,14640000,14660000,-1.09730
chr2L,14660000,14680000,-1.24449
chr2L,14680000,14700000,-0.83764
chr2L,14700000,14720000,-0.73279
chr2L,14720000,14740000,-0.62432
chr2L,14740000,14760000,-0.89590
chr2L,14760000,14780000,-0.74977
chr2L,14780000,14800000,-0.57466
chr2L,14800000,14820000,-0.45147
chr2L,14820000,14840000,-1.06563
chr2L,14840000,14860000,0.65581
chr2L,14860000,14880000,-0.55389
chr2L,14880000,14900000,-0.23214
chr2L,14900000,14920000,-0.66102
chr2L,14920000,14940000,0.92788
chr2L,14940000,14960000,-0.26421
chr2L,14960000,14980000,-0.94811
chr2L,14980000,15000000,-1.73884
chr2L,15000000,15020000,1.01329
chr2L,15020000,15040000,-0.07730
chr2L,15040000,15060000,-0.35759
chr2L,15060000,15080000,-0.31280
chr2L,15080000,15100000,-0.97416
chr2L,15100000,15120000,-0.14317
chr2L,15120000,15140000,-0.68079
chr2L,15140000,15160000,-0.60793
chr2L,15160000,15180000,-0.75990
chr2L,15180000,15200000,-0.76889
